Rank,Name,Worldwide Box Office,Movies,Average
620,Mena Suvari,$776.274.126,18,$43.126.340
621,Vanessa Hudgens,$775.587.919,13,$59.660.609
622,Taylor Kitsch,$775.442.538,7,$110.777.505
623,Alison Brie,$770.772.258,12,$64.231.022
624,Charlie Hunnam,$765.160.468,12,$63.763.372
625,Carla Gugino,$764.808.974,11,$69.528.089
626,Vanessa Kirby,$763.195.719,6,$127.199.287
627,Peter Cullen,$761.911.574,3,$253.970.525
628,Natasha Lyonne,$760.564.647,10,$76.056.465
629,Omar Sy,$759.912.086,7,$108.558.869
630,Kate McKinnon,$758.093.416,5,$151.618.683
631,Chris Klein,$758.023.645,5,$151.604.729
632,Eddie Kaye Thomas,$755.653.416,3,$251.884.472
633,Uma Thurman,$755.163.743,16,$47.197.734
634,Saoirse Ronan,$752.326.653,14,$53.737.618
635,Anil Kapoor,$750.668.098,7,$107.238.300
636,Adrien Brody,$749.484.503,25,$29.979.380
637,Neve Campbell,$747.221.334,10,$74.722.133
638,Karen Fukuhara,$745.744.980,1,$745.744.980
639,Jared Harris,$743.321.071,5,$148.664.214
640,Yanting Lü,$742.711.251,1,$742.711.251
641,Minnie Driver,$742.472.348,10,$74.247.235
642,Ed Harris,$741.540.391,24,$30.897.516
643,Garrett Hedlund,$736.749.839,13,$56.673.065
644,Shannon Elizabeth,$735.906.348,9,$81.767.372
645,Chevy Chase,$735.805.130,26,$28.300.197
646,Winona Ryder,$734.880.070,19,$38.677.898
647,Russell Brand,$733.906.707,8,$91.738.338
648,Edward Asner,$731.673.367,5,$146.334.673
649,Jordan Nagai,$731.463.377,1,$731.463.377
650,Marlon Wayans,$730.147.544,9,$81.127.505
651,Gu Chuxiao,$727.846.450,1,$727.846.450
652,Annabelle Wallis,$727.715.361,5,$145.543.072
653,Michael Clarke Duncan,$725.121.404,8,$90.640.176
654,Jamie Bell,$723.915.537,15,$48.261.036
655,Cher,$723.711.481,9,$80.412.387
656,Steven Seagal,$722.451.316,23,$31.410.927
657,Mahershala Ali,$721.929.428,5,$144.385.886
658,Liv Tyler,$721.384.903,8,$90.173.113
659,Lucy Alexis Liu,$718.128.816,9,$79.792.091
660,Roy Scheider,$717.424.052,3,$239.141.351
661,Cynthia Nixon,$714.059.555,3,$238.019.852
662,Maggie Grace,$713.215.087,11,$64.837.735
663,Lena Waithe,$712.372.683,2,$356.186.342
664,Josh Holloway,$711.436.607,3,$237.145.536
665,Kim Cattrall,$709.961.078,3,$236.653.693
666,Bonnie Hunt,$708.822.251,3,$236.274.084
667,Zoë Kravitz,$708.523.387,10,$70.852.339
668,Jaeden Lieberher,$705.497.121,4,$176.374.280
669,Olivia Cooke,$703.128.348,10,$70.312.835
670,Vladimir Mashkov,$700.922.700,3,$233.640.900
671,William Hurt,$700.316.199,25,$28.012.648
672,Satoshi Tsumabuki,$699.084.069,1,$699.084.069
673,Kate Hudson,$698.452.464,16,$43.653.279
674,Sally Field,$689.275.327,8,$86.159.416
675,Florence Pugh,$684.912.078,9,$76.101.342
676,Cobie Smulders,$683.807.602,7,$97.686.800
677,Taraji P. Henson,$680.631.480,13,$52.356.268
678,America Ferrera,$680.337.992,5,$136.067.598
679,Bridget Moynahan,$676.081.596,4,$169.020.399
680,Mélanie Laurent,$673.998.871,5,$134.799.774
681,Rooney Mara,$671.165.625,14,$47.940.402
682,Corey Stoll,$670.423.898,7,$95.774.843
683,Rosa Salazar,$667.778.576,3,$222.592.859
684,Asa Butterfield,$666.448.734,11,$60.586.249
685,Dakota Fanning,$664.558.755,20,$33.227.938
686,Peter Dinklage,$660.354.419,12,$55.029.535
